comp_id,event,j1_name,j2_name,j3_name,j4_name,j5_name,j6_name,j7_name,j8_name,j9_name,j1_nat,j2_nat,j3_nat,j4_nat,j5_nat,j6_nat,j7_nat,j8_nat,j9_nat
GPFRA_1718,LADIES_FS,Daniela TACCANI,Jean SENFT,Elisabeth LOUESDON,Olga KOZHEMYAKINA,Dan FANG,Malgorzata SOBKOW,Yuko OGAWA,Peggy GRAHAM,Yuri GUSKOV,ITA,CAN,FRA,RUS,CHN,POL,JPN,USA,KAZ
GPUSA_1112,MEN_FS,Claudia BRAMBATI,Mayumi KATO,Lolita LABUNSKAIYA,Hely ABBONDATI,Jarmila PORTOVA,Francis BETSCH,Kerstin KIMMINUS,Francoise DE RAPPARD,Peggy GRAHAM,ITA,JPN,RUS,FIN,CZE,FRA,GER,BEL,USA
GPUSA_1415,LADIES_SP,Kylie Anne YACOPETTI,Philippe MERIGUET,Julia ANDREEVA,Na Young AHN,Anastassia MAKAROVA,Wei SHI,Peter LEVIN,Tomie FUKUDOME,Peggy GRAHAM,AUS,FRA,RUS,KOR,UKR,CHN,SWE,JPN,USA
WC_1415,MEN_FS,Guangying QIN,Daniel DELFA,Beth CRANE,Anna KANTOR,Yuri GUSKOV,Vladislav PETUKHOV,Daniela CAVELLI,Francoise DE RAPPARD,Jana BAUDYSOVA,CHN,ESP,CAN,ISR,KAZ,UKR,ITA,BEL,CZE
WC_1314,MEN_FS,Anna KANTOR,Yuri GUSKOV,Kadi ZVIRIK,Jia YAO,Kersten BELLMANN,Walter TOIGO,Vladislav PETUKHOV,Benoit LAVOIE,Jana BAUDYSOVA,ISR,KAZ,EST,CHN,GER,ITA,UKR,CAN,CZE
GPRUS_1112,MEN_FS,Samuel AUXIER,Andrea DERBY,Igor DOLGUSHIN,Laimute KRAUZIENE,Saioa SANCHO,Noriko SHIROTA,Tiziana MIORINI,Attila SOOS,Jana BAUDYSOVA,USA,CAN,RUS,LTU,ESP,JPN,ITA,HUN,CZE
EC_1011,LADIES_FS,Laimute KRAUZIENE,Leena LAAKSONEN,Peter LEVIN,Ebru ANILDI,Antica GRUBISIC,Helle LYNGBERG,Gavril VELCHEV,Francoise DE RAPPARD,Ernestien BAKKER,LTU,FIN,SWE,TUR,CRO,ISU,ISU,BEL,NED
EC_1617,LADIES_FS,Vessela POPOVA,Zanna KULIK,Andrea GMELIN,Tarja RISTANEN,Francoise DE RAPPARD,Osman SIRVAN,Daniel DELFA,Teri SEDEJ,Ernestien BAKKER,BGR,EST,ROU,FIN,BEL,TUR,ESP,SVN,NED
GPFRA_1718,MEN_SP,Daniel DELFA,Elisabeth LOUESDON,Albert ZAYDMAN,Yuko OGAWA,Peggy GRAHAM,Salome CHIGOGIDZE,Yuri GUSKOV,Igor DOLGUSHIN,Saodat NUMANOVA,ESP,FRA,ISR,JPN,USA,GEO,KAZ,RUS,UZB
GPFRA_1718,MEN_FS,Daniel DELFA,Elisabeth LOUESDON,Albert ZAYDMAN,Yuko OGAWA,Peggy GRAHAM,Salome CHIGOGIDZE,Yuri GUSKOV,Igor DOLGUSHIN,Saodat NUMANOVA,ESP,FRA,ISR,JPN,USA,GEO,KAZ,RUS,UZB
4CC_1718,MEN_SP,Leslie KEEN,Peggy GRAHAM,Angelique CLYDE-SMITH,Masako KUBOTA,Weiguang CHEN,Na Young AHN,Magdalena RUSIECKA,Yuri GUSKOV,Saodat NUMANOVA,CAN,USA,AUS,JPN,CHN,KOR,POL,KAZ,UZB
WC_1011,LADIES_FS,Stanislava SMIDOVA,Antica GRUBISIC,Igor FEDCHENKO,Prisca BINZ-MOSER,Tarja RISTANEN,Georgi DIMKOV,Mateja AVBREHT,Igor DOLGUSHIN,Evgeni ROKHIN,CZE,CRO,UKR,SUI,FIN,ISU,SLO,RUS,UZB
4CC_1314,MEN_SP,Yuri GUSKOV,Eddy WU,Jung-Sue LEE,Kenji AMAKO,Jia YAO,Lorrie PARKER,Andrea DERBY,Catherine L TAYLOR,Evgeni ROKHIN,KAZ,TWN,KOR,JPN,CHN,USA,CAN,AUS,UZB
WC_1011,LADIES_SP,Prisca BINZ-MOSER,Igor FEDCHENKO,Saioa SANCHO,Georgi DIMKOV,Evgeni ROKHIN,Tarja RISTANEN,Stanislava SMIDOVA,Igor DOLGUSHIN,Deborah NOYES,SUI,UKR,ESP,ISU,UZB,FIN,CZE,RUS,AUS
4CC_1011,MEN_FS,Leanna CARON,Chihee RHEE,Eddy WU,Evgeni ROKHIN,Hailan JIANG,Deveny DECK,Masako KUBOTA,Neil GARRARD,Deborah NOYES,CAN,KOR,TWN,UZB,CHN,USA,JPN,ZAF,AUS
4CC_1112,LADIES_FS,Leslie KEEN,Na Young AHN,Eddy WU,Neil GARRARD,Anne CAMMETT,Jia YAO,Sasha MARTINEZ,Tomiko YAMADA,Deborah NOYES,CAN,KOR,TWN,ZAF,USA,CHN,MEX,JPN,AUS
OLY_1314,LADIES_SP,Robert ROSENBLUTH,Karen HOWARD,Franco BENINI,Birgit FOELL,Diana STEVENS,Nobuhiko YOSHIOKA,Katarina HENRIKSSON,Adriana DOMANSKA,Sung-Hee KOH,USA,CAN,ITA,GER,GBR,JPN,SWE,SVK,KOR
GPCHN_1516,LADIES_FS,Lolita LABUNSKAIYA,Dan CHEN,Allan BOEHM,Eddy WU,Kenji AMAKO,Yumin WANG,Lorrie PARKER,Malgorzata SOBKOW,Sung-Hee KOH,RUS,HKG,SVK,TWN,JPN,CHN,USA,POL,KOR
